FID,StopNo,RTIstop,BSID,STPNAM,Lat,Long,wkdyons,wkdyoffs,satons,satoffs,sunons,sunoffs,allons,alloffs,Combined,Rank
75,426905,60431,431,SANTA CLARA & 24TH,37.346982,-121.86802,116,48,73,46,72,41,261,135,416,91
58,396813,60615,615,2ND & ST JOHN,37.338313,-121.890767,35,135,21,102,20,55,76,292,412,92
20,246605,60656,656,STEVENS CREEK & WOLFE,37.323083,-122.015123,169,165,39,146,31,110,239,421,409,93
46,386704,60445,445,SANTA CLARA & MONTGOMERY,37.332078,-121.90172,191,245,117,173,100,98,408,516,408,94
31,297604,62523,2523,MISSION COLLEGE,37.391282,-121.980027,322,295,55,59,24,26,401,380,401,95
6,157602,60497,497,EL CAMINO & ESCUELA,37.393443,-122.096662,171,240,109,121,116,110,396,471,396,96
12,216604,60662,662,STEVENS CREEK & STELLING,37.323041,-122.042267,28,148,9,115,4,85,41,348,388,97
7,157607,60351,351,EL CAMINO & CLARK,37.393622,-122.097488,148,118,127,78,103,73,378,269,378,98
39,366616,60627,627,SAN CARLOS & RACE,37.323626,-121.911835,165,199,66,110,63,119,294,428,376,99
22,256605,60571,571,STEVENS CREEK & MILLER,37.322809,-122.013717,161,183,118,48,95,29,374,260,374,100
